Tune/Set,Artist/Source
Gatehouse Maid ,Altan
The King of Meenasillagh/Lamey’s/The High Fiddle Reel,Altan
The Dispute at the Crossroads/Columba Wards/Siun’s,Altan
John Doherty’s Reels 1 & 3/Runaway Sunday,Altan
The Flood on the Holm/Scots Mary/The Dancer’s Denial,Altan
The Windmill,Altan
The Humours of Andytown/Kylebrack Rambler/The Gladstone,Altan
Mazurka,Altan
Pretty Peg/New Ships a Sailing/The Bird’s Nest/Man From Bundoran,Altan
Drowsy Maggie/Rakish Paddy/Harvest Storm,Altan
Yellow Tinker/Lady Montgomery/Merry Harriers,Altan
Brenda Stubbert’s/Breen’s/Red Box,Altan
Jimmy Lyon’s/The Teelin/The Red Crow/The Broken Bridge,Altan
The Emyvale/Gan Aimn/The Merry Sisters of Fate,Altan
An Peata sa Chistineach/An Fathach Eireannach,Altan
The Highland Man/The Cliffs of Glencolmcille/Cuffe Street,Altan
An tSeanchailleach Gallda/Dermot Byrnes,Altan
The Graf Spey,Bobby Casey
Paddy Fahy in C,Brendan McGlinchey
Acrobat Hornpipe,Brendan McGlinchey
Splendid Isolation/Mrs. Lawrie’s,Brendan McGlinchey
Farewell To London,Brendan McGlinchey
Jig in G,Brendan McGlinchey
The Knocknagow Jig,Brendan McGlinchey
Grant’s,Brendan Mulvihill
Derek McGinley Highland,Cairdeas na bhFidileiri
Derek McGinley Jig,Cairdeas na bhFidileiri
Eiri na Greine (Derek McGinley Reel in A),Cairdeas na bhFidileiri
Con Cassidy's Highland in A (Catriona Kennedy),Cairdeas na bhFidileiri
Tara Connaghan Highland in A,Cairdeas na bhFidileiri
Ronan Galvin Highland in G,Cairdeas na bhFidileiri
Mick Brown Polka starting on high B,Cairdeas na bhFidileiri
Pigeon on the Gate in A (Martin McGinley),Cairdeas na bhFidileiri
John Watter’s Polka in G (Damien McGeehan),Cairdeas na bhFidileiri
Liz Carroll’s Reels,Cathal Hayden
Paddy O’Brien,Christy Leahy
Finbarr Dwyer,Christy Leahy
South of the Grampians,Ciaran O Maonaigh
Con Cassidy’s 1 & 2,Ciaran O Maonaigh
The Drummer,Ciaran O Maonaigh
Clifton Road/The Dead Rabbit,Cillian Vallely
Willie Clancy’s/The Leitrim Thrush,Cillian Vallely
Keep it Up/Nine Pint Coggie/The Wedding Anniversary Reel,Cillian Vallely
40 Reel,Cillian Vallely
Untitled in F,Claire O’Loughlin
Con Cassidy’s (Drowsy Maggie),Con Cassidy
Doodley Doodley Dank (Con Cassidy),Con Cassidy
Sailing In/Alice’s Reel,De Danann
Mike Flanagan’s Jig,De Danann
Mulvihill’s Reel/The Dawn,De Danann
Ril an Spideal/The Twelve Pins,De Danann
Coleraine Jig/Derrane’s/John Stenson’s/Moher Reel,De Danann
The Cottage in the Grove/Sean Ryan’s Reel,De Danann
The Miller of Dronagh,De Danann
The House of Hamill,Ed Reavey
Hughie’s Cap,Ed Reavey
In Memory of Coleman,Ed Reavey
Lad O’Beirne’s Hornpipe,Ed Reavey
Lane to the Glen,Ed Reavey
Leddy from Cavan,Ed Reavey
Never was Piping So Gay,Ed Reavey
Quinn of Armagh,Ed Reavey
Reilly of the White Hill,Ed Reavey
The Whistler of Rosslea,Ed Reavey
Paddy Fahy’s/Paddy Murphy’s Wife,Finbarr Dwyer
Farewell to Cairo,Finbarr Dwyer
John Dwyer’s Jig,Finbarr Dwyer
Finbarr Dwyer’s No.2/The Meadow,Finbarr Dwyer
C Reel Gan aimn,Francie & Mickie Byrne
